#,ubound,wni_lab,y,Q,P0,P1,Mi,Wi,Wni
9,135.576,,0.0,0.0,0.0,0.0,,,
10,155.75,0.1018,0.264080812667087,0.16842879748098574,0.1580513091588293,0.018221834192671788,146.18481271825647,23.104701029258717,0.10151717984331185
11,171.11,0.08900000000000001,0.4651456130322331,0.27241512854233674,0.2816440255172,0.05548516808539117,163.31952372188167,20.18510357114272,0.08868908482272256
12,185.09,0.0789,0.6481459977395729,0.33830511368230726,0.3830690590637292,0.102208380058385,177.96569777967676,18.050176867435184,0.07930866748435893
13,198.73,0.0741,0.82669572931383,0.37935998358010176,0.4706013397463841,0.15565693522337365,191.7636042851298,16.785505635003542,0.07375196901062217
14,211.74,0.0659,0.9969986624356107,0.400937854516376,0.5438570041971138,0.21099866566143938,205.09192603292814,15.024145315022066,0.06601292351741288
15,225.98,0.069,1.1834024877741312,0.40905866411838415,0.613456246561796,0.27385601732849824,218.68046477840528,15.219994668533573,0.06687344424076898
16,238.81,0.0553,1.3513491927666328,0.4057611716232322,0.667623718153685,0.33076106498337615,232.24450826189621,12.580097803648508,0.055274294593216464
17,250.85,0.0475,1.508954674302854,0.39585000132366505,0.7118998862224731,0.38326548000289784,244.6945500461623,10.83413702336036,0.04760291142719211
18,263.23,0.0453,1.671010808972158,0.38064044803436486,0.751554913168248,0.4355474679121192,256.8943884607931,10.187153896631097,0.044760204120631905
19,275.23,0.0393,1.8280926842574283,0.3624888412545605,0.7849705676993686,0.4840325742458552,269.09134115432767,8.991863293328931,0.03950834948781133
20,287.04,0.0354,1.982687429850682,0.34246954586723555,0.8136070777895231,0.5292890899708425,280.99923945450433,8.04683755596467,0.03535610585500791
21,299.02,0.0328,2.1395075020104763,0.32087589884036843,0.8388710138589204,0.5724800573527575,292.88903410648163,7.399529833093664,0.03251197234151016
22,311.06,0.0297,2.2971129835466977,0.2985877548319558,0.8608970069038073,0.6130096526395252,304.89650652597174,6.715648332151382,0.029507141366430494
23,323.29,0.0269,2.457205594774936,0.27592316706263265,0.8802572296552007,0.6511860009912134,317.02593824375356,6.137692782368548,0.02696772666400937
24,335.91,0.025,2.6224033669499454,0.25297714797918525,0.8974686673660758,0.6874472083910521,329.4403266512286,5.67014166160796,0.024913405720748173
25,348.63,0.0231,2.7889101547523314,0.2306595595500695,0.912357064999608,0.7208636530048304,342.1069159627229,5.0934237980344115,0.02237942915030454
26,361.53,0.0202,2.9577731706839967,0.20911599118760438,0.9252836799113711,0.7516757239554344,354.9114690370349,4.587803888009868,0.020157841981817925
27,374.83,0.0188,3.1318722491251716,0.1882333212867032,0.9366456922309326,0.7803745148532806,368.00008708635454,4.1812215230748935,0.018371404883586094
28,388.51,0.0171,3.3109455869503797,0.1682724194158927,0.946554907982867,0.8068552579817108,381.4789132266315,3.7801568559761436,0.01660921138508108
29,402.85,0.0162,3.498658427916278,0.1490521279486809,0.9553012892292897,0.8315583123431342,395.4692738221511,3.45892504009446,0.015197786585298646
30,417.74,0.0145,3.69357085483275,0.1309330593257979,0.9628869311689844,0.8541863929293407,410.0670366103258,3.110621710997604,0.013667415270163555
31,432.78,0.0126,3.8904468051902885,0.11447561838558866,0.9692548627976444,0.8742172810142196,425.0266987949939,2.7065409582815914,0.011891969728031457
32,447.77,0.0104,4.0866682477341385,0.09982419037414024,0.97452329335443,0.8916493173022435,440.04259548077255,2.3183338563181506,0.01018626965701271
33,463.2,0.0094,4.28864935903845,0.08644757410710545,0.9790122455998073,0.9072435274216751,455.2381278935576,2.0435422163891275,0.008978893188700614
34,479.26,0.0081,4.498877268795236,0.0742141070405648,0.9828523354197223,0.921239833414322,470.9619272124745,1.80853610225618,0.007946325923601588
35,496.21,0.0069,4.72075541763568,0.06299550277738752,0.9861505969815426,0.9338517727286079,487.43573279252325,1.6076905413273082,0.007063852919353358
36,100000.0,0.0268,1307.2409163502793,0.0,1.0,1.0,575.0770795011829,7.96447424068934,0.03499421883129318
